id,EAP,HPL,MWS
id02310,0.10784647613763809,0.08273087441921234,0.8094226717948914
id24541,0.9989056587219238,0.0010910554556176066,3.3477481338195503e-06
id00134,0.006872046273201704,0.976535975933075,0.016591984778642654
id27757,0.5699582099914551,0.3946891725063324,0.035352591425180435
id04081,0.6466554999351501,0.20819160342216492,0.14515280723571777
id27337,0.9392563104629517,0.06019304320216179,0.0005506481393240392
id24265,0.9719926714897156,0.01359709445387125,0.014410199597477913
id25917,0.10356584191322327,0.09648331999778748,0.799950897693634
id04951,0.9994718432426453,0.0005039995885454118,2.4206437956308946e-05
id14549,0.9242210388183594,0.012043450959026814,0.06373555958271027
id22505,0.006947293411940336,0.06602393090724945,0.9270287156105042
id24002,0.0006948416121304035,0.9988778233528137,0.0004273344820830971
id18982,0.011579169891774654,0.04818040132522583,0.9402404427528381
id15181,0.3450454771518707,0.6156129837036133,0.039341554045677185
id21888,0.6952068209648132,0.03646331652998924,0.2683298885822296
id12035,0.11596691608428955,0.014842274598777294,0.8691907525062561
id17991,0.6397939324378967,0.02018667757511139,0.34001943469047546
id10707,0.999140739440918,0.0006690589361824095,0.00019022189371753484
id07101,0.7075629234313965,0.036763355135917664,0.25567367672920227
id00345,0.9756282567977905,0.018044406548142433,0.006327249109745026
id05912,0.9029496312141418,0.06069382652640343,0.03635650500655174
id13443,0.2907935380935669,0.27243661880493164,0.4367698132991791
id09248,0.4830298125743866,0.1001315638422966,0.41683855652809143
id17542,0.5777184963226318,0.11978984624147415,0.30249160528182983
id06995,0.6036161184310913,0.01033793669193983,0.386045902967453
id25159,0.5954840183258057,0.040503114461898804,0.3640129268169403
id25729,0.6615527272224426,0.295619934797287,0.04282732307910919
id26949,0.9635892510414124,0.020747963339090347,0.01566280610859394
id27191,0.0036018905229866505,0.0003802595310844481,0.9960178732872009
id07668,0.3555731475353241,0.004647045861929655,0.6397798657417297
id02230,0.06296899914741516,0.08228165656328201,0.8547493815422058
id15553,0.9999151229858398,8.03314833319746e-05,4.49913886768627e-06
id25688,0.006704858969897032,0.9867618083953857,0.006533352192491293
id17545,0.9455947279930115,0.04657485708594322,0.007830438204109669
id13929,0.4715052843093872,0.28645631670951843,0.24203838407993317
id12880,0.3791317641735077,0.5099003314971924,0.11096784472465515
id19282,0.5838243365287781,0.204136922955513,0.21203874051570892
id14690,0.12021087855100632,0.11854942888021469,0.7612397074699402
id17975,0.47995930910110474,0.41760286688804626,0.10243785381317139
id08037,0.9931668639183044,0.006255798507481813,0.0005774146993644536
id15412,0.3281659185886383,0.007682109717279673,0.6641519069671631
id25032,0.6454110145568848,0.10785362869501114,0.2467353343963623
id27165,0.9946736693382263,0.002874379977583885,0.0024519541766494513
id03327,0.9266411662101746,0.06876532733440399,0.00459354929625988
id18515,0.9625145792961121,0.03139626234769821,0.006089149974286556
id21003,0.0756487250328064,0.017920708283782005,0.9064306020736694
id23855,0.00872243195772171,0.7028979659080505,0.28837963938713074
id20724,0.867706298828125,0.06811431795358658,0.06417930871248245
id13303,0.5494065880775452,0.04599349573254585,0.4045999348163605
id16521,0.010196089744567871,0.6384500861167908,0.3513537645339966
id20775,0.9999878406524658,1.172468728327658e-05,5.158636326996202e-07
id13029,0.9826509356498718,0.009489843621850014,0.007859276607632637
id14660,0.9393736124038696,0.04793309420347214,0.012693285942077637
id11028,0.04662816599011421,0.0022191598545759916,0.9511526226997375
id14180,0.9975995421409607,0.0017140813870355487,0.0006864244933240116
id25860,0.9991307854652405,0.0006238573114387691,0.0002453775377944112
id11910,0.5765734314918518,0.018407130613923073,0.4050194025039673
id08065,0.41670453548431396,0.13860417902469635,0.4446912705898285
id22674,0.006918448954820633,0.00603465735912323,0.9870469570159912
id25018,0.3643554747104645,0.006758055649697781,0.6288864612579346
id10892,0.008930289186537266,0.9899401068687439,0.0011295415461063385
id10217,0.8835928440093994,0.10750401020050049,0.008903097361326218
id12996,0.4156186878681183,0.06789778918027878,0.5164836049079895
id18262,0.4839951694011688,0.36173704266548157,0.1542677879333496
id08606,0.00034305398003198206,0.9994853734970093,0.00017155701061710715
id17233,0.6134764552116394,0.11978834867477417,0.2667352557182312
id00101,0.5040868520736694,0.4408140480518341,0.05509912967681885
id12225,0.5262423753738403,0.164714515209198,0.30904310941696167
id01364,0.04350234195590019,0.9531185626983643,0.003379025962203741
id24973,0.8419598937034607,0.0040725176222622395,0.15396761894226074
id25363,0.5660767555236816,2.7717438570107333e-05,0.43389543890953064
id10061,0.2893856465816498,0.14491210877895355,0.5657021999359131
id17673,0.6817476153373718,0.1326359212398529,0.18561649322509766
id13249,0.36018621921539307,0.21400673687458038,0.42580708861351013
id10107,0.2666679918766022,0.07124169170856476,0.6620902419090271
id04403,0.9655594825744629,0.004183460958302021,0.030257025733590126
id25728,0.8496147394180298,0.03683017939329147,0.11355508118867874
id16184,0.5774204730987549,0.10463030636310577,0.3179491460323334
id03438,0.7380089163780212,0.031274158507585526,0.23071695864200592
id22923,0.05094843730330467,0.944064736366272,0.004986822139471769
id08610,0.9975175857543945,0.0013310053618624806,0.0011514081852510571
id25355,0.07695380598306656,0.024181000888347626,0.8988651633262634
id16916,0.4435863494873047,0.5391623973846436,0.01725122518837452
id12793,0.06452798843383789,0.926349401473999,0.009122625924646854
id11859,0.8936087489128113,0.02963128127157688,0.07675997912883759
id02434,0.9999996423721313,2.0996840532916394e-07,6.691271892123041e-08
id27703,0.00010915128223132342,7.844503852538764e-05,0.9998124241828918
id25212,0.0018068302888423204,0.9735576510429382,0.024635599926114082
id11308,0.22587746381759644,0.1293788105249405,0.6447436809539795
id26094,0.9846929311752319,0.009527909569442272,0.005779220722615719
